gst-plugins-base-libs 1.24.7-1
gstreamer 1.24.7-1
gtest 1.15.2-1
gtk-layer-shell 0.8.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.14.5-1
gtk2 2.24.33-4
gtk3 1:3.24.43-1
gtk4 1:4.14.5-1
gtkmm-4.0 4.14.0-1
gtkmm3 3.24.9-1
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gzip 1.13-4
handbrake 1.8.2-1
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
harmonoid-bin 0.3.8-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.387-1
hwloc 2.11.1-1
hyper-bin 3.4.1-1
hyphen 2.8.8-6
hyprcursor 0.1.9-1
hyprdots-ctl v0.5.0.6.g61eb383-1
hyprland 0.42.0-2
hyprlang 0.5.2-1
hyprpicker-git 0.2.0.r6.0eb4919-1
hyprpicker-git-debug 0.2.0.r6.0eb4919-1
hyprutils 0.2.1-1
hyprwayland-scanner 0.4.0-1
iana-etc 20240814-1
icu 75.1-1
icu63 63.2-1
icu63-debug 63.2-1
imagemagick 7.1.1.38-2
imath 3.1.11-3
intel-gmmlib 22.4.1-1
intel-media-driver 24.3.2-1
iproute2 6.10.0-2
iptables 1:1.8.10-2
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-4
jasper 4.2.4-1
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-8
jdk-openjdk 22.0.2.u9-1
jdk11-openjdk 11.0.24.u8-1
jq 1.7.1-2
js115 115.13.0-1
json-c 0.17-2
json-glib 1.10.0-1
jsoncpp 1.9.5-3
jxrlib 0.2.4-2
kaccounts-integration 24.08.0-1
kactivities5 5.116.0-1
karchive 6.5.0-1
karchive5 5.116.0-1
kauth 6.5.0-1
kauth5 5.116.0-1
kbd 2.6.4-2
kbookmarks 6.5.0-1
kbookmarks5 5.116.0-1
kcmutils 6.5.0-1
kcmutils5 5.116.0-1
kcodecs 6.5.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.5.0-1
kcompletion 6.5.0-1
kcompletion5 5.116.0-1
kconfig 6.5.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.5.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.5.0-1
kcoreaddons5 5.116.0-1
kcrash 6.5.0-1
kcrash5 5.116.0-1
kdbusaddons 6.5.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.1.4-1
kdeclarative5 5.116.0-1
kded5 5.116.0-1
kdenlive 24.08.0-1
kdesu 6.5.0-1
kdesu5 5.116.0-1
kdnssd 6.5.0-1
kdnssd5 5.116.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.5.0-1
kfilemetadata5 5.116.0-2
kglobalaccel 6.5.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.5.0-1
kguiaddons5 5.116.0-1
ki18n 6.5.0-1
ki18n5 5.116.0-1
kiconthemes 6.5.0-1
kiconthemes5 5.116.0-1
kidletime 6.5.0-1
kidletime5 5.116.0-1
kio 6.5.0-1
kio-extras 24.08.0-1
kio5 5.116.0-1
kirigami 6.5.0-2
kirigami2 5.116.0-1
